Seanfhocail,Translation,Context,JPEG
Is faide a théann an dúchas ná an fhoghlaim,Nurture goes further than learning,,
Cad a bheadadh súil agat a fháil ó bhó ach preab,What would you expect from the cow but to kick,,
Faigheann an tseanbhróg an tseanstoca.,The old shoe finds the old stocking,(Also seen as) Níl aon sean stoca nach bhfaigheann sean bhróg : There is someone for everyone,
Éiríonn an té a luíonn le madraí le dreancaidí,He who sleeps with dogs will rise with fleas,,
Nuair a chruann an tslat is deacair í a lúbadh,When the rod hardens its difficult to bend,Its hard for the old to change their ways,
Ní heaspa go díth carad,There is no need like the lack of a friend,,
Chomh díomhaoin le laidhricín píobaire,As idle as a fiddlers pinky finger,,
An rud a líonas an tsúil líoann sé an croí,What fills the eye fills the heart,Beauty is in the eye of the beholder,
Éiste le fuaim na habhann agus gheobhaidh tú breac,Listen to the river and you'll find trout,Patience is a virture,
Ni haon maith a bheith ag caonineadh nuair a imíonn an tsochraid,It's no good mourning when the funeral is gone,Don't be late,
Is fearr focal sa chúirt ná punt sa sparán,A good word in court is better than a pound in your purse,,
Is minic a bhain seangán léim as gearrá,It's often an ant made a horse jump,,
Is fearr an tsláinte ná an táinte,Health is better than wealth,,
Múineann gé seift,Necessity is the mother of invention,,
Is minic a rug cú mall ar ghiorria ,A slow hound often catches a hare,Slow and steady wins the race,
Tig maith mór as moill bheag,Great good can come from a short delay,,
Ní dhéanfaidh smaoineamh an treabhadh duit,You won't plough a filed by thinking about it,Procrastination,
Is fearr beagán cuidithe na mórán trua,A bit of help is better than a lot of sympathy,,
"An té a bhíonn siúlach, bíonn sé scéalach agus an té a bhíonn scéalach bíonn sé bréagach",He who travels is a storyteller and he who is a storyteller is a liar,Plamauser - compulsive lying in irish culture,
Is cuma le tae cé ólfas é,Tea doesn't mind who drinks it,,
Is treise toil ná tuiscint,Will is stronger than understanding,,
"Taephota sa teallach, 'sé a shásóidh an chailleach",A pot of tea on the hearth is what will satisfy the old woman,,
Téann íseal agus uasal chuig tórramh,Both the rich and the poor attend funerals,Death is inevitable for everyone,
Ná mol agus ná cáin tú féin,Neither praise nor criticise yourself,,
Maireann croí éadrom i bhfad,A light heart lives long,,
Ní cleas é go ndéantar trí huaire é,It isn't a trick until its done three times,,
Ní chaitheann an chaint an t-éadach,Chatting doesn't wear the clothes,,
"Inis do Mháire i gcógar é, is inseoidh Máire dó phóbal é","Tell it to Mary in a whisper, and Mary will tell the whole parish",,
Ná bíodh do theanga faoi do chrios,Don't keep your tongue under your belt,,
An té is mó a osclaíonn a bhéal is é is lú a osclaíonn a sparán,He who opens his mouth the the most is he who opens his purse the least,,
Mórán cainte ar bheagán cúise,Much talk with little reason,,
Galar gan náire an tart,Thirst is a shameless disease,,
Is fearr a bheith díomhaoin ná droch-ghnóthach,Better to be idle than up to no good,,
Ná nocht d'fhiacla go bhféadair an greim do bhreith,Don't bare your teeth until you can bite,,
Nuair a bheidh do lámh i mbéal na con tarraing go réidh í,"When your hand is in the hound's mouth, take it out gently",,
Baineann an druncaeir an díon dá thigh féin agus cuireann ar an teach tábhairne é,The drunkard removes the roof from his house and puts it on the pub,Spending too much out,
Is milis dá ól é ach is searbh dá íoc é,It's sweet to drink but bitter to pay,,
Mura gcuirfidh tú san earrach ní bhainfidh tú san fhómhar,"If you do not sow in the Spring, you will not reap the autumn",Success comes with planning,
Dhá thrian den obair í an chosúlacht,Two thirds of the work is the semblance,,
"Na ceithre rud is measa amú: ceann tinn, béal seirbh, intinn bhuartha, agus poca folamh","The four least useful things: a headache, a bitter mouth, a worried mind, and an empty pocket",,
"Má tá moladh uait, faigh bás. Má tá cáineadh uait, pós","If you want praise, die. If you want complaints, marry",,
Pós bean ón sliabh agus pósfaidh tú an sliabh ar fad,Marry a woman from the mountain and you will marry the whole mountain,,
Is maith leis an chat iasc ach ní mhaith leis a chrúba a fhliuchadh,A cat likes fish but doesn't like to get its claws wet,,
Ná bris do loirgín ar stól nach bhfuil i do shlí,Don't break your shin on a stool thats not in your way,,
Is minic a chealg briathra míne cailín críonna,Smooth words often decieve a wise girl,,
An rud a ghoilleas ar an gcroí caithfidh an t-súil é a shileas,What pains the heart must be washed away with tears,,
Mura gcuirfidh tú san earrach ní bhainfidh tú san fhómhar,Be good to the child and he will come to you tomorrow,,
Bionn ceann caol ar an óige,You can't put an old head on the young,Wisdom can't be earned easily,
"Deoch roimh tarta, deoch i ndiaidh tarta, agus deoch in aghaidh tarta","A drink before a thirst, a drink after a thirst, and a drink in case of a thirst",Any excuse for a drink,
An t-ualach is mó ar an gcapall is míne,The heaviest load is on the gentlest horse,,
Buail an t-iarann te,Strike while the irons hot,take opportunities when they're presented,
Ag dul chun dlí leis an ndiabhal is an chúirt i n-ifreann,Going to law with the devil and the court is in hell,,
Seachnaíonn súil ní nach bhfeiceann,Eyes avoid what the cannot see,"Out of sight, out of mind/Ignorance is bliss",
Is doimhin é poll an amhrais,The pit of doubt is deep,,
Shíl mé gur den bhaisteadh é,I thought it was part of the baptism,I thought it was supposed to happen,
Ní troime don chaora olann agus ní troime don cholainn ciall,A sheep isn't any heavier for having wool and a body isn't any heavier for having sense,,
Ná glac duine choíche ar a thuairisc fhéin,Never accept a persons own account of themselves,,
Is minic cuma aingeal ar an Diabhal féin,There's often a look of an angel on the Devil himself,Wolf in sheeps clothing/looks can be deceiving,
Beagán a rá agus é a rá go maith,Say little and say it well,,
Ní scéal rúin é ó tá a fhios ag triúr é,It's not a secret if three people know it,,
Ní féidir an seanfhocal a shárú,Can't beat an old saying,,
Ní fiú scéal gan údar,A story isn't worth anything without an author,Gossip isn't credible without a direct source,
Is fada an bóthar nach bhfuil aon chasadh ann,It's a long road that has no turning,Luck will change,
Ní bhíonn deatach ann gan tine,There's no smoke without fire,There's always a reason for rumours,
"Cogadh carad, deis namhad",A war of friends is an enemy's opportunity,,
Is breá an ní an óige ach ní thagann sí faoi dhó,"Youth is a fine thing, but it doesn't come twice",,
"Dá fhaid é an lá, tagann an oíche","However long the day, night will come",tomorrow is another day,
Ná comhair do chuid sicíní sula dtagann siad amach,Don't count your chickens before they are hatched,Don't count on something not guaranteed,
Is iomaí cor sa tsaol,There is many twists in life,Life is unpredicatable,
Se leigheas na póite ól arís,It's the hangover cure to drink again,,
"Beart gan leigheas, foighne is fearr air.",What can't be cured requires patience,What can't be cured must be endured,
Is minic bréag ar aonach,There's often lying at the fair,People are dishonest when money is involved,
Ní cheileann meisce rún,Drunkeness hides no secrets,,
Ní bhíonn an grá fíor gan mheas,True love doesn't exist without respect,,
Is fusa duine a ghortú ná a leigheas,It's easier to hurt someone than to heal them,,
Ní chreidtear an fhírinne ó bhréagadóir,The truth is not believed from a liar,boy who cried wolf,
Is fearr an mhaith atá ná an dá mhaith a bhí,Better the good thing that is than two good things that were,focus on the present,
Ná beannaigh don diabhal go mbeannaí sé duit,Don't go greeting the devil until the devil greets you,don't go looking for trouble,
Ní chronaítear an t-uisce go dtriomaítear an tobar,Water isn't appreciated until the well dries up,you don't know what you have til you've lost it,
Is fearr uaigneas fada ná droch-chuideachta,Better to be in solitude for a long time than to have bad company,,
Is fearr leath builín ná bheith gan arán,Half a loaf is better than no bread,be happy with what you have,
Má bhuaileann tú mo mhadra buailfidh tú mé féin,If you hit my dog you hit me,,
Ní lia duine ná tuairim,There's no less people than opinions,,
"An rud a chíonn an leanbh, is é a níonn an leanbh","What the baby sees, the baby does",,
Sliocht sleachta ar shliocht bhur sleachta,May your children's children have children,Wedding toast,
"An té a bhíonn ag magadh, bíonn a leath faoi féin","He who mocks others, half is mocking himself",,
An rud is measa le duine ar domhan n’fheadair sé nach é lár a leasa é,The very thing a person dreads most in the world could be the best thing in the world for them,,
Is é an grá na sreanga a cheanglaíonn croíthe le chéile,Love is the string that binds hearts together,,
"Maireann an duine ar aoibhneas croí, agus is fad saoil dó an t-áthas","Man lives on a joyful heart, and happiness prolongs his life",,
Níl sa saol ach gaoth agus toit,Life is just wind and smoke,,
Ag duine féin is fearr a fhios cá luíonn an bhróg air,A person best knows where the shoe troubles him,,
"An rud a théann i bhfad, téann sé i bhfuaire","What goes on for a long time, goes cold",Too much of a good thing is a bad thing,
Súil le breis a mhilleann an cearrbhach,Hoping for more ruins the gambler,,
Is búaine clú ná saol,Fame is more enduring than life,,
An té a dtéann teist na mochóirí amach air ní cás dó codladh go headra,The person who gains the reputation of getting up early can sleep late,A reputation can preceed you,
Molfaidh an gníomh é féin,The deed will praise itself,,
Is beag an splanc a lasann tine,Small sparks ignite big fires,,
"An té nach trua leis do chás, ná déan do ghearán leis","He who does not sympathise with your plight, do not complain to him",,
Beatha duine a thoil,To each their own,,
Ní féasta go rósta is ní céasta go pósta,No feast like a roast and no suffering like a marriage,,
Bíonn adharca fada ar na buaibh thar lear,The cows abroad have longer horns,Faraway hills are greener,
"Ritheann fear buile trí thuile go dána, ach is minic thug tuile fear buile le fána","A crazy man runs through a flood boldly, but often a flood sweeps a crazy man away",acting rash can lead to detrimental concequences,
Capall an tsaoil an grá,Love is the horse of life,Love makes the world go round,
Chíonn beirt rud nach bhfeiceann duine amháin,Two people can see what an individual cannot,Two heads are better than one,
Ní théann dlí ar riachtanas,Necessity overides law,,
I dtír na ndall is rí é fear na leathshúile,In the land of the blind the one eyed man is king,Circumstance is everything,
Is fearr an tsláinte mhór ná na mílte bó,It's better to have great health than thousands of cows,,
Ní lia tír ná gnás,There's no less countries than customs,,
Bí beo mura mbeidh tú beo ach leathuair,Live even if your only life for half an hour,Seize the day,
Géilleann caisleán ón taobh istigh,Castles crumble from the inside,,
Ní troid go troid na gcomharsan,There's no fighting like neighbours fighting,,
Ní féidir selig le madra ar iall,It's not possible to hunt with a dog on a leash,You can't do a job with one hand tied around your back,
Ní ionann dul go tigh an rí agus teacht as,Going to the king's house is not the same as coming out of it,It's easier to get into trouble than it is to get out of it,
Ná cuir cnaipí órga ar chóta stróicthe,Don't put golden buttons on a ripped coat,,
Is maith an rud cóccaire fíreannach,An honest chef is a good thing,,
Ní féidir é a bheith ina ghruth is ina mheadhg agat,You cant have it curd and whey,You can't have everything,
Níl cara ag cumha ach cuimhne,Sadness has no friend but memory,,
Tabhair drochainm do mhadra agus caithfidh gach éinne cloch leis,Give a dog a bad name and everyone will throw a stone at it,,
Ní fhaigheann lámh iata ach dorn dúnta,A closed hand gets nothing but a closed fist,,
Ní breac é go raibh sé ar an bport,Don't count your trout before it's on the port,,
Ní bhíonn tréan buan,Strength doesn't last forever,All glory is fleeting,
Ní bhfuair minic onóir,Often doesn't receive honour,Familiarity breeds contempt,
Ná tabhair breith ar an gcéad scéal,Don''t judge after the first story,There is two sides to every story,
Ná déan nós is ná bris nós,Don't make a habit and don't break a habit,,
Ná bac le mac an bhacaigh is ní bhacfaidh mac an bhacaigh leat,Don't bother the beggar's son and the beggar's son won't bother you,Mind your own business,
An gad is giorra don scornach is túisce is ceart a scaoileadh,The knot nearest the throat is the one to release first,Solve the most pressing matter first,
Nuair is gann é an bia is fial é a roinnt,When the food is scarce it's generous to share,,
Más olc maol is measa mullach,If it's bad at the bottom its worse at the top,,
Namhaid an cheird gan í a fhoghlaim,If you don't learn the trade it becomes your enemy,,
Mura mbeadh agat ach pocán gabhair bí i lár an aonaigh leis,If all you have is a male goat be in the middle of the fair with it,Make the most of what you have,
Mian mic a shúil,The desire of the child is in their eyes,Eyes are the window to the soul,
Is trom cearc i bhfad,A hen is heavy when carried far,A small burden becomes heavy when carried far,
Is treise dúchas ná oiliúint,Nature is stronger than nurture,,
Is minic a gheall tailliúir is ná tiocfadh sé,It's often a tailor promises to come and does not,Promises are easier made than kept,
 Is maith le Dia féin cúnamh,God himself likes a bit of help,,
Is mairg a dheanann deimhin dá dhóchas,Woe to he who makes certainty of his hope,"Hope for the best, prepare for the worst",
 Is lú ná fríd máthair an oilc,The mother of evil is smaller than a mite,,
Is geal leis an bhfiach dubh a ghearrcach féin,The raven thinks its own offspring is bright,,
Is furasta fuineadh in aice na mine,It's easy to bake next to the flour,,
Is fearr súil le glas ná súil le huaigh,Better an eye on the lock than an eye on the grave,Always look on the bright side of life,
Is fada siar a théann iarsma an drochbhirt,The trail of a bad deed goes a long way,,
Is deacair rogha a bhaint as dhá dhíogha,It's hard to choose between two evils,Choosing the lesser of two evils,
Is beo duine tar éis a bhuailte ach ní beo é tar éis a cháinte,A person is alive after being beaten but not after being berated,"Sticks and stones may break my bones, but words can hurt forever",
Dá mbeadh soineann go Samhain bheadh breall ar dhuine éigin,"If it was fair til November, someone would still complain",You can't please everyone,
Dá dhonacht é Séamas ba mheasa bheith ina éagmais,"However bad Séamas is, it would be worse without him",,
Ciall agus míchiall - dís ná gabhann le chéile,Sense and nonsense - two things which don't go together,,
"Chonaic mé cheana thú, arsa an cat leis an mbainne te","I've seen you before, said the cat to the warm milk","Once burned, twice shy",
An té nach mbeireann ar an ngnó beireann an gnó air,"He who does not get a grip on the job, the job gets a grip on him",Deal with your problems before they deal with you,
An t-uan ag múineadh méilí dá mháthair,The lamb teaching its mother how to bleat,,
Beidh lá eile ag an bPaorach,Power will have another day,There's always another day,
Bíonn caora dhubh ar an tréad is gile,Every flock has a black sheep,,
Bíonn cead cainte ag fear caillte na himeartha,The man who lost the match has permission to talk,Failure is a learning experience,
Níl sprid ná puca nach bhfuil fios a chúise aige,There's no spirit or ghost that doesn't know its reason,Everything happens for a reason,
Bíonn rath ar an amadán,The fool is lucky,,
Bliain le duine agus bliain ina choinne,One year with you one year against you,Every dog has it's day,
Breathnaigh an abhainn sula dtéann tú ina cuilithe,Observe the river before you wade into it,Look before you leap,
Faigheann cú ar a a chois rud nach bhfaigheann cú ina lúb,The hound on foot gets what the hound in bed doesn't,Early bid catches the word,
Faobhar a bhaineas féar,It's the edge that cuts the grass,Work smarter not harder,
Fear na bó faoina heireaball,The cow's owner must go under her tail,Where there's muck theres money,
"Fiche bliain ag fás, fiche bliain faoi bhláth agus fiche ag trá","20 years growing, 20 years in bloom and 20 years in decline",,
Fill ormsa arsa'n drochghnó,"Come back to me, said the bad business man",Do it right the first time,
Is maith an grá é nach dteastaíonn focal uaidh,The best love is the one that needs no words,,
Gach dalta mar oiltear,Every student is how he's taught,,
Déanann codladh fada tóin lom,Long sleep makes for a bare backside,"You snooze, you loose",
I dtús an mhála is ceart an tíos a dhéanamh,It's right to be thrifty at the beginning of the bag,A stick in time saves nine,
Is báidhiúil iad lucht aoncheirde,Those of the same trade sympathise with each other,Birds of a feather flock together,
Cnoc ag tórmach ar feadh seacht mblian agus nár tháinig uaidh ach luch,The hill raged for seven years and only a mous came from it,Nothing could come from it,
Geallúintí nó bagarthaí móra agus cóimhlíonadh suarach,Big promises and threats and no compliance,,
Is minic a thuit fear maith i mbualtaigh,Often a good man has fallen into trouble ,,
"Ní raibh ""cuibheasach"" 'na thigheasach mhaith riamh",Average was never a good leader,,
Cuireann an fear díomhaoin cathú ar an diabhal,The devil makes work for idle hands,,
Ní fear é ar aonach ná ar mhargadh ná ar phobal an Aifrinn,He's not a man of the fair or the market or the community mass,He's not a man at all,
Níl laoch d'á thréine ná faghtar fear a chlóidh,"There is no hero, however strong, that can't be defeated",,
Cailín Domhnaigh nó gamhain Samhraidh. Bíonn cuma breágh ortha ach b'fhéidir gur bláth bréige é,A Sunday girl or a Summer calf. Both seem fine but they might be a false bloom,,
Ní dheaghaidh aoinne riamh amach ar inntin mhná,No one will ever fully understand a woman's mind,,
Ní luaithe ar an ngaoith ná ar inntin mhná,Not even the wind is faster than a woman's mind,,
Bróga sa chliabhán ladhar sa lathaigh,"Shoes in the cradle, feet in the mud",,
Tabhair rud do leanbh is tiocfaidh sé arís,Give something to a child and they'll come back for it again,,
Is maith atá 'fhios ag gach máthair conus smacht a chur ar leanbh iasachta,Every mother knows how to discipline another’s child,(Said sarcastically),
Is mairg nár thóg a laogh féin nó a leanbh,Pity the person who didn't raise their own calf or child,,
"Scoláirí na scoile, gobadáin na gorta, d'íos- aidís na clocha dá bhféadaidís iad a chogaint","Schoolchildren, like famine birds, would chew the stones if they could",,
An rud is beag ag fear is mór ag leanbh é,What's small to a man is big to a child,"Don't trivialise a childs concerns, have patience",
Is mó an chainnt ná an chneadach,The talk is bigger than the carnage,,
Is gránna an dúthchas maoile,Baldness is a bad inheritence,,
